std_id,lon,lat,stn_ko,stn_en,fct_id
90,128.56473,38.25085,속초,Sokcho,11D20401
93,127.75443,37.94738,북춘천,Bukchuncheon,11D10301
95,127.3042,38.14787,철원,Cheorwon,11D10101
98,127.0607,37.90188,동두천,Dongducheon,11B20401
99,126.76648,37.88589,파주,Paju,11B20305
100,128.71834,37.67713,대관령,Daegwallyeong,11D20201
101,127.7357,37.90262,춘천,Chuncheon,11D10301
102,124.71237,37.97396,백령도,Baengnyeongdo,11A00101
104,128.85535,37.80456,북강릉,Bukgangneung,11D20501
105,128.89099,37.75147,강릉,Gangneung,11D20501
106,129.12433,37.50709,동해,Donghae,11D20601
108,126.9658,37.57142,서울,Seoul,11B10101
112,126.6249,37.47772,인천,Incheon,11B20201
114,127.94659,37.33749,원주,Wonju,11D10401
115,130.89863,37.48129,울릉도,Ulleungdo,11E00101
119,126.983,37.25746,수원,Suwon,11B20601
121,128.45743,37.18126,영월,Yeongwol,11D10501
127,127.9525,36.97045,충주,Chungju,11C10101
129,126.4939,36.77658,서산,Seosan,11C20101
130,129.41278,36.99176,울진,Uljin,11H10101
131,127.44066,36.63924,청주,Cheongju,11C10301
133,127.3721,36.37199,대전,Daejeon,11C20401
135,127.99458,36.22025,추풍령,Chupungnyeong,11C10401
136,128.70733,36.57293,안동,Andong,11H10501
137,128.15741,36.40837,상주,Sangju,11H10302
138,129.38002,36.03201,포항,Pohang,11H10201
140,126.76135,36.0053,군산,gunsan,21F10501
143,128.65296,35.87797,대구,Daegu,11H10701
146,127.11718,35.84092,전주,Jeonju,11F10201
152,129.33469,35.58237,울산,Ulsan,11H20101
155,128.57282,35.17019,창원,Changwon,11H20301
156,126.89156,35.17294,광주,Gwangju,11F20501
159,129.03203,35.10468,부산,Busan,11H20201
162,128.43561,34.84541,통영,Tongyeong,11H20401
165,126.38151,34.81732,목포,Mokpo,21F20801
168,127.74063,34.73929,여수,Yeosu,11F20401
169,125.45105,34.68719,흑산도,Heuksando,11F20701
170,126.70182,34.3959,완도,Wando,11F20301
172,126.599,35.34824,고창,Gochang,21F10601
174,127.3694,35.0204,순천,Suncheon,11F20600
177,126.68772,36.65759,홍성,Hongseong,11C20104
181,127.38458,36.63994,서청주,Seocheongju,11C10301
184,126.52969,33.51411,제주,Jeju,11G00201
185,126.16283,33.29382,고산,Gosan,11G00501
188,126.8802,33.38677,성산,Seongsan,11G00101
189,126.5653,33.24616,서귀포,Seogwipo,11G00401
192,128.04004,35.16378,진주,Jinju,11H20701
201,126.44634,37.70739,강화,Ganghwa,11B20101
202,127.49446,37.48863,양평,Yangpyeong,11B20503
203,127.48421,37.26399,이천,Icheon,11B20701
211,128.16811,38.05991,인제,Inje,11D10201
212,127.88043,37.6836,홍천,Hongcheon,11D10302
216,128.98929,37.17038,태백,Taebaek,11D20301
217,128.67348,37.37732,정선군,Jeongseongun,11D10502
221,128.19433,37.15928,제천,Jecheon,11C10201
226,127.73415,36.48761,보은,Boeun,11C10302
232,127.29282,36.76217,천안,Cheonan,11C20301
235,126.55744,36.32724,보령,Boryeong,11C20201
236,126.92079,36.27242,부여,Buyeo,11C20501
238,127.48175,36.10563,금산,Geumsan,11C20601
239,127.24438,36.48522,세종,sejong,11C20404
243,126.71657,35.72961,부안,Buan,21F10602
244,127.28556,35.61203,임실,Imsil,11F10402
245,126.83904,35.56337,정읍,Jeongeup,11F10203
247,127.39652,35.4213,남원,Namwon,11F10401
248,127.52031,35.65696,장수,Jangsu,11F10301
251,126.697,35.42661,고창군,Gochanggun,21F10601
252,126.47784,35.28366,영광군,Yeonggwanggun,21F20102
253,128.89075,35.22981,김해시,Gimhaesi,11H20304
254,127.1286,35.37131,순창군,Sunchanggun,11F10403
255,128.6726,35.22655,북창원,Bukchangwon,11H20301
257,129.02009,35.30737,양산시,Yangsansi,11H20102
258,127.21226,34.76335,보성군,Boseonggun,11F20404
259,126.78408,34.64457,강진군,Gangjingun,11F20303
260,126.91951,34.68886,장흥,Jangheung,11F20304
261,126.56907,34.55375,해남,Haenam,11F20302
262,127.27572,34.61826,고흥,Goheung,11F20403
263,128.28812,35.32258,의령군,Uiryeonggun,11H20602
264,127.74538,35.51138,함양군,Hamyanggun,11H20501
266,127.6914,34.9434,광양시,Gwangyangsi,11F20402
268,126.25846,34.47296,진도군,Jindogun,21F20201
271,128.91449,36.94361,봉화,Bonghwa,11H10402
272,128.51687,36.87183,영주,Yeongju,11H10401
273,128.14879,36.62727,문경,Mungyeong,11H10301
276,129.04005,36.4351,청송군,Cheongsonggun,11H10503
277,129.40926,36.53337,영덕,Yeongdeok,11H10102
278,128.68864,36.3561,의성,Uiseong,11H10502
279,128.32055,36.13055,구미,Gumi,11H10602
281,128.9514,35.97742,영천,Yeongcheon,11H10702
283,129.2009,35.8174,경주시,Gyeongjusi,11H10202
284,127.9099,35.66739,거창,Geochang,11H20502
285,128.16994,35.56505,합천,Hapcheon,11H20503
288,128.74412,35.49147,밀양,Miryang,11H20601
289,127.8791,35.413,산청,Sancheong,11H20703
294,128.60459,34.88818,거제,Geoje,11H20403
295,127.92641,34.81662,남해,Namhae,11H20405
296,128.96024,35.21778,북부산,Bukbusan,11H20201
