regId,lat,lon,regEn,regName,regSp,regUp,seq,stnF3,tmEd,tmSt
10000000,0.0,0.0,,전체,A,,1,0,210012310000,199001010000
11000000,0.0,0.0,,육상,A,,1,0,210012310000,199001010000
11A00000,0.0,0.0,,서해5도,A,11000000,1,0,210012310000,201501221100
11A00100,0.0,0.0,,서해5도,B,11A00000,1,0,210012310000,199001010000
11A00101,37.966099,124.630447,Baengnyeongdo,백령도,C,11A00100,1,102,210012310000,201610131800
11A00102,37.66720278,125.69385,,연평도,C,11A00100,1,0,210012310000,199001010000
11A00103,37.53031667,126.3384778,,소청도,C,11A00100,1,0,210012310000,199001010000
11B00000,0.0,0.0,,서울.인천.경기,A,11000000,1,0,210012310000,201101110800
11B000D1,37.69310556,127.00565,,북한.도봉산,D,11B00000,1,0,210012310000,200707250000
11B000D2,37.94246389,127.0894944,,소요산,D,11B00000,1,0,210012310000,200204240000
11B000D3,37.565575,127.547125,,용문산,D,11B00000,1,0,210012310000,200204240000
11B000D4,37.61966667,126.4303,,마니산,D,11B00000,1,0,210012310000,200204240000
11B001P0,0.0,0.0,,북한산,P,11B00000,1,0,210012310000,201501221100
11B001P1,37.6587,126.978,,북한산(정상),P,11B001P0,1,0,210012310000,202503051700
11B002P0,37.89833333,127.41444444,,연인산,P7,11B00000,1,0,210012310000,201002230000
11B002P1,37.89833333,127.41444444,,연인산(정상),P7,11B002P0,1,0,210012310000,201002230000
11B003P0,37.45777778,127.18972222,,남한산성,P7,11B00000,1,0,210012310000,201002230000
11B003P1,37.45777778,127.18972222,,남한산성(정상),P7,11B003P0,1,0,210012310000,201002230000
11B004P0,37.37305556,126.91361111,,수리산,P7,11B00000,1,0,210012310000,201002230000
11B004P1,37.37305556,126.91361111,,수리산(정상),P7,11B004P0,1,0,210012310000,201002230000
11B005P0,37.68111111,127.27472222,,천마산,P8,11B00000,1,0,210012310000,201002230000
11B005P1,37.68111111,127.27472222,,천마산(정상),P8,11B005P0,1,0,210012310000,201002230000
11B006P0,37.94138889,127.43138889,,명지산,P8,11B00000,1,0,210012310000,201002230000
11B006P1,37.9414,127.4321,,명지산(정상),P8,11B006P0,1,0,210012310000,202503051700
11B007P0,37.69916667,127.01583333,,도봉산,P9,11B00000,1,0,210012310000,201002230000
11B007P1,37.69916667,127.01583333,,도봉산(정상),P9,11B007P0,1,0,210012310000,201002230000
